"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"ADGRV1",1.50088396406123e-108,-13.5412185285589,0,0.17,7.35177992116114e-104,"down"
"AC092691.1",1.74516748640586e-106,-13.5811529536284,0,0.167,8.5483538986618e-102,"down"
"PTGDS",3.80448933802567e-97,-0.656420075116829,0.73,0.916,1.86355301244511e-92,"ns"
"ADGRB3",3.17587192825424e-92,-13.1514064836862,0,0.146,1.55563734661678e-87,"down"
"BAI3",2.86468269247143e-86,0.513548856063929,0.948,0.743,1.40320752325328e-81,"ns"
"LPHN3",1.56607729217892e-85,0.658394799878392,0.83,0.627,7.67111640027998e-81,"ns"
"OBI1-AS1",1.0421419028744e-81,-12.7089317757626,0,0.13,5.10472368284965e-77,"down"
"ADGRL3",1.88038983334126e-80,-12.5746174261846,0,0.128,9.21071352065547e-76,"down"
"AL589740.1",8.5301674116522e-70,-12.5429612463122,0,0.112,4.1783319032496e-65,"down"
"HSPA1A",5.18228896277399e-68,2.24683171948773,0.227,0.08,2.53844060263558e-63,"up"
"DST",1.42929176622364e-63,-0.800451452944193,0.787,0.874,7.00109985849323e-59,"ns"
"CALM2",3.02295893769639e-62,-4.87298932369678,0.008,0.118,1.48073597645182e-57,"down"
"CARMIL1",9.28286079217769e-62,-11.8261793223318,0,0.1,4.5470237018324e-57,"down"
"GPM6A",1.09788797191282e-61,0.310554079390643,0.99,0.969,5.37778465282056e-57,"ns"
"RP11-436D23.1",1.27992094111068e-60,0.676255699663669,0.716,0.543,6.26943674584245e-56,"ns"
"GPR98",2.2257918776977e-60,0.428794454947642,0.929,0.755,1.09025963545266e-55,"ns"
"AC073050.1",3.36334473136504e-60,-11.7184128094303,0,0.097,1.64746714976454e-55,"down"
"HSPA1B",8.78537815610505e-58,2.61394512408396,0.17,0.051,4.30334178220494e-53,"up"
"NRXN1",2.62441579305537e-54,0.299973963588556,0.988,0.962,1.28551758791231e-49,"ns"
"CTNNA2",1.36721665696524e-53,0.384258740582033,0.979,0.955,6.69703735081286e-49,"ns"
"CHI3L1",1.0821218093354e-52,-3.60249444575727,0.027,0.139,5.3005572586676e-48,"down"
"PLPP3",8.71011833001704e-52,-11.3908942469538,0,0.084,4.26647726159225e-47,"down"
"TENM2",5.26526188593479e-50,0.746303182737138,0.64,0.517,2.57908322958744e-45,"ns"
"ERBIN",6.47869826302125e-50,-11.2878692164112,0,0.081,3.1734607701757e-45,"down"
"MT-ND3",3.33585108337251e-49,1.53107630984474,0.454,0.323,1.63399993616836e-44,"up"
"COX5B",3.95360498479703e-49,-1.68585617370892,0.051,0.178,1.93659432970313e-44,"down"
"AC002429.5",2.59833080627976e-48,0.910221769069866,0.459,0.306,1.27274037884001e-43,"ns"
"TMSB4X",4.2102744145962e-48,-1.2852440046379,0.217,0.382,2.06231871650166e-43,"down"
"PRKN",1.03560411006916e-47,-11.3112530431872,0,0.077,5.07269961235177e-43,"down"
"RASGEF1B",1.17768667940366e-47,0.264489510675964,0.922,0.693,5.76866266172295e-43,"ns"
"MT-ND2",1.54356697919398e-47,1.11219077256879,0.444,0.294,7.56085413418588e-43,"up"
"RP11-384F7.2",2.22462810829659e-46,0.405915299807087,0.879,0.691,1.08968958628692e-41,"ns"
"SEPTIN7",2.32825497093626e-46,-11.1044132629744,0,0.075,1.14044913241371e-41,"down"
"MALAT1",3.18076020036908e-46,-0.30236864562784,1,1,1.55803176894679e-41,"ns"
"ASB3",1.62285165922326e-45,-11.2274068409293,0,0.074,7.94921428237327e-41,"down"
"RPS27",9.37951454219735e-45,-4.67065176758905,0.005,0.085,4.59436760820453e-40,"down"
"ADGRG1",2.44740039244606e-44,-11.1219038948142,0,0.072,1.19881013423185e-39,"down"
"RPS15",1.38484751210762e-43,-1.27002208826079,0.093,0.232,6.78339856855675e-39,"down"
"GRAMD2B",1.69406264162527e-43,-11.1057651222003,0,0.07,8.29802703747304e-39,"down"
"MT3",2.21033208790999e-43,0.68667500211541,0.638,0.542,1.08268696662095e-38,"ns"
"CHCHD2",2.30271494899926e-43,-1.71021447206404,0.043,0.155,1.12793886346831e-38,"down"
"SLC1A2",8.49804296679423e-43,0.269130814224961,0.983,0.977,4.16259638642482e-38,"ns"
