"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","threshold"
"EIF1AX",4.99881890445234e-08,-0.693806796767748,0.035,0.066,0.00244857146396789,"ns"
"NAPA",5.10175166587718e-08,-1.04920610572512,0.027,0.056,0.00249899101849662,"down"
"ZMIZ1",5.16716214771818e-08,-0.282471665829165,0.136,0.195,0.0025310310348168,"ns"
"FAM217A",5.16963729623744e-08,-0.826838630046795,0.012,0.034,0.00253224343681599,"ns"
"NPM1P30",5.17646295542169e-08,-0.699665517236792,0.018,0.044,0.00253558684945421,"ns"
"GAS6-AS1",5.23163712997339e-08,-1.8859548846057,0.005,0.023,0.00256261281537486,"down"
"PFKL",5.2375962367776e-08,-0.42331519994216,0.095,0.143,0.00256553176466077,"ns"
"AC016739.2",5.29303733987764e-08,-0.375509076491784,0.096,0.146,0.00259268848019226,"ns"
"CD81",5.42631907222673e-08,-0.356899651016513,0.159,0.22,0.00265797387114882,"ns"
"ACO2",5.7145270773353e-08,-0.387406585346507,0.113,0.165,0.00279914679829115,"ns"
"GLTSCR1L",5.79659119575262e-08,0.756487520785887,0.197,0.154,0.0028393442654155,"ns"
"FUT9",5.94579283853841e-08,0.212677429342056,0.645,0.595,0.00291242770610127,"ns"
"UNC5C",5.98107618234507e-08,-0.151492532122177,0.23,0.306,0.00292971054639809,"ns"
"CUTA",6.01224227605477e-08,-0.636496055689425,0.034,0.066,0.00294497663407991,"ns"
"TIPARP",6.07073126479742e-08,-0.485359145321429,0.069,0.111,0.00297362629543572,"ns"
"TPR",6.10624382506764e-08,-0.47806904701906,0.087,0.133,0.00299102141283288,"ns"
"FIGN",6.22783820513338e-08,0.510529373833761,0.325,0.285,0.00305058198802048,"ns"
"TGFB3",6.31866455158262e-08,-1.14249650719754,0.012,0.033,0.00309507145730172,"down"
"HCFC1R1",6.37274154467296e-08,-0.7726963324132,0.03,0.06,0.00312155999082716,"ns"
"PEG3",6.41590702780699e-08,-8.06881195142786,0,0.011,0.0031427037394307,"down"
"GRK3",6.41590702780699e-08,-8.10265342596677,0,0.011,0.0031427037394307,"down"
"BCLAF3",6.41590702780699e-08,-7.94328465194918,0,0.011,0.0031427037394307,"down"
"ZNF559",6.4159071484357e-08,-7.86351145438701,0,0.011,0.00314270379851826,"down"
"AC103923.1",6.4159071484357e-08,-8.19016165818496,0,0.011,0.00314270379851826,"down"
"CASTOR2",6.4159071484357e-08,-8.06694544330391,0,0.011,0.00314270379851826,"down"
"UPK3BL1",6.4159071484357e-08,-8.08443732149361,0,0.011,0.00314270379851826,"down"
"RAB4B",6.4159071484357e-08,-8.2775821314838,0,0.011,0.00314270379851826,"down"
"GRM8",6.4448486443267e-08,-0.713739629651196,0.026,0.055,0.00315688021145055,"ns"
"SEC14L2",6.57323994491423e-08,-1.00985498258967,0.032,0.062,0.00321977012221734,"down"
